country_region,province_state,latitude,longitude,date,confirmed_case
US,"Howard, IN",40.4483,-86.1345,3/5/2020,0
US,"Howard, IN",40.4483,-86.1345,3/4/2020,0
US,"Howard, IN",40.4483,-86.1345,3/3/2020,0
US,"Howard, IN",40.4483,-86.1345,3/2/2020,0
US,"Howard, IN",40.4483,-86.1345,3/1/2020,0
US,"Howard, IN",40.4483,-86.1345,2/29/2020,0
US,"Howard, IN",40.4483,-86.1345,2/28/2020,0
US,"Howard, IN",40.4483,-86.1345,2/27/2020,0
US,"Howard, IN",40.4483,-86.1345,2/26/2020,0
US,"Howard, IN",40.4483,-86.1345,2/25/2020,0
US,"Howard, IN",40.4483,-86.1345,2/24/2020,0
US,"Howard, IN",40.4483,-86.1345,2/23/2020,0
US,"Howard, IN",40.4483,-86.1345,2/22/2020,0
US,"Howard, IN",40.4483,-86.1345,2/21/2020,0
US,"Howard, IN",40.4483,-86.1345,2/20/2020,0
US,"Howard, IN",40.4483,-86.1345,2/19/2020,0
US,"Howard, IN",40.4483,-86.1345,2/18/2020,0
US,"Howard, IN",40.4483,-86.1345,2/17/2020,0
US,"Howard, IN",40.4483,-86.1345,2/16/2020,0
US,"Howard, IN",40.4483,-86.1345,2/15/2020,0
US,"Howard, IN",40.4483,-86.1345,2/14/2020,0
US,"Howard, IN",40.4483,-86.1345,2/13/2020,0
US,"Howard, IN",40.4483,-86.1345,2/12/2020,0
US,"Howard, IN",40.4483,-86.1345,2/11/2020,0
US,"Howard, IN",40.4483,-86.1345,2/10/2020,0
US,"Howard, IN",40.4483,-86.1345,2/9/2020,0
US,"Howard, IN",40.4483,-86.1345,2/8/2020,0
US,"Howard, IN",40.4483,-86.1345,2/7/2020,0
US,"Howard, IN",40.4483,-86.1345,2/6/2020,0
US,"Howard, IN",40.4483,-86.1345,2/5/2020,0
US,"Howard, IN",40.4483,-86.1345,2/4/2020,0
US,"Howard, IN",40.4483,-86.1345,2/3/2020,0
US,"Howard, IN",40.4483,-86.1345,2/2/2020,0
US,"Howard, IN",40.4483,-86.1345,2/1/2020,0
US,"Howard, IN",40.4483,-86.1345,1/31/2020,0
US,"Howard, IN",40.4483,-86.1345,1/30/2020,0
US,"Howard, IN",40.4483,-86.1345,1/29/2020,0
US,"Howard, IN",40.4483,-86.1345,1/28/2020,0
US,"Howard, IN",40.4483,-86.1345,1/27/2020,0
US,"Howard, IN",40.4483,-86.1345,1/26/2020,0
US,"Howard, IN",40.4483,-86.1345,1/25/2020,0
US,"Howard, IN",40.4483,-86.1345,1/24/2020,0
US,"Howard, IN",40.4483,-86.1345,1/23/2020,0
US,"Howard, IN",40.4483,-86.1345,1/22/2020,0
US,"Hudson County, NJ",40.7453,-74.0535,3/20/2020,0
US,"Hudson County, NJ",40.7453,-74.0535,3/19/2020,0
US,"Hudson County, NJ",40.7453,-74.0535,3/18/2020,0
US,"Hudson County, NJ",40.7453,-74.0535,3/17/2020,0
US,"Hudson County, NJ",40.7453,-74.0535,3/16/2020,0
US,"Hudson County, NJ",40.7453,-74.0535,3/15/2020,0
US,"Hudson County, NJ",40.7453,-74.0535,3/14/2020,0
US,"Hudson County, NJ",40.7453,-74.0535,3/13/2020,0
US,"Hudson County, NJ",40.7453,-74.0535,3/12/2020,0
US,"Hudson County, NJ",40.7453,-74.0535,3/11/2020,0
US,"Hudson County, NJ",40.7453,-74.0535,3/10/2020,0
US,"Hudson County, NJ",40.7453,-74.0535,3/9/2020,1
US,"Hudson County, NJ",40.7453,-74.0535,3/8/2020,1
US,"Hudson County, NJ",40.7453,-74.0535,3/7/2020,0
US,"Hudson County, NJ",40.7453,-74.0535,3/6/2020,0
US,"Hudson County, NJ",40.7453,-74.0535,3/5/2020,0
US,"Hudson County, NJ",40.7453,-74.0535,3/4/2020,0
US,"Hudson County, NJ",40.7453,-74.0535,3/3/2020,0
US,"Hudson County, NJ",40.7453,-74.0535,3/2/2020,0
US,"Hudson County, NJ",40.7453,-74.0535,3/1/2020,0
US,"Hudson County, NJ",40.7453,-74.0535,2/29/2020,0
US,"Hudson County, NJ",40.7453,-74.0535,2/28/2020,0
US,"Hudson County, NJ",40.7453,-74.0535,2/27/2020,0
US,"Hudson County, NJ",40.7453,-74.0535,2/26/2020,0
US,"Hudson County, NJ",40.7453,-74.0535,2/25/2020,0
US,"Hudson County, NJ",40.7453,-74.0535,2/24/2020,0
US,"Hudson County, NJ",40.7453,-74.0535,2/23/2020,0
US,"Hudson County, NJ",40.7453,-74.0535,2/22/2020,0
US,"Hudson County, NJ",40.7453,-74.0535,2/21/2020,0
US,"Hudson County, NJ",40.7453,-74.0535,2/20/2020,0
